name,imo,flag
ELIZA II,9418078,SAO TOME & PRINCIPE
ELIZABET,9216717,CAMEROON
ELMO,9256913,UNKNOWN
ELSA,9256468,
ELVA,9196644,ST KITTS & NEVIS
ELZA,9221671,UNKNOWN
EM LONGEVITY,9212864,SINGAPORE
EM UNITY,9189952,SAN MARINO
EM VITALITY,9102265,UNKNOWN
ENZO,9183300,UNKNOWN
EQUALITY‡,9216547,GUINEA (FALSE)
ESTELLA,9382700,PANAMA
ETERNAL PEACE‡,9259745,PANAMA
ETERNAL SUCCESS,9307633,SINT MAARTEN
ETERNITY,9198317,GUYANA (FALSE)
ETHAN,9293741,COOK ISLANDS
EURO FORTUNE,9281554,ST KITTS &amp; NEVIS
EURO VIKING,9309239,ST KITTS &amp; NEVIS
EUROPE,9235268,LIBERIA
EVERRICH 10,9088536,
FABINO GAS,9012886,MARSHALL ISLANDS
FALCON,9014432,UNKNOWN
FAUSTA,9232450,GUYANA (FALSE)
FELICITA,9167162,BARBADOS
FENGSHUN,9007386,ESWATINI (FALSE)
FIONA,9365752,UNKNOWN
FIONA II,9262766,UNKNOWN
FIRENZE K,9245782,PANAMA
FOREVER,9136058,TANZANIA
FORTUNA,9113379,THAILAND
FORTUNE GALAXY,9257010,UNKNOWN
FOSHAN,9404572,PANAMA
FOTIS,9306548,PANAMA
FOUR PLUS,9203930,GUYANA (FALSE)
FREDA‡,9402469,UNKNOWN
FREESIA I (ex LA ROSA I),9159660,UNKNOWN
FREYA,9180164,
FRUNZE,9263643,UNKNOWN
FT ISLAND,9166675,HONDURAS
FUGA BLUEMARINE,9235725,GAMBIA
FULDA,9185865,HONG KONG
FULL WOOD,9194127,GUYANA (FALSE)
FURIA,9257802,BARBADOS
FURY,9280873,GUINEA (FALSE)
FUXI,9246463,ANTIGUA & BARBUDA
G JADES,9131096,COMOROS
G SPRING,9040118,DJIBOUTI
G STAR (ex ENERGY STAR),9118393,ST KITTS & NEVIS
G YMM,9139696,PANAMA
GALA ROSE,9126015,HONG KONG
GALL,9827944,LIBERIA
GALVIN,9387762,PANAMA
GAMKONORA,9641091,
GANESHA,8519966,
GARUDA‡,9260055,GAMBIA
GAS CATHAR‡,9250505,UNKNOWN
GAS CONCEPT,9386299,PANAMA
GAS DIOR,9379404,PANAMA
GAS ENDURANCE,9240419,GABON
GAS GEMINI,8818219,SIERRA LEONE
GAS LAGOON,9386304,PANAMA
GAS LEADER,9114581,GAMBIA
GAS MARTA,9307748,PALAU
GAS MARYAM,9108099,PALAU
GAS ROMA,9046784,
GAS STRENGTH,9172636,GABON
GAS VISION,9115303,
GAS WANAKA,9364382,PANAMA
GAS ZEINA,8818843,GAMBIA
GATHER VIEW,9246281,UNKNOWN
GIANT,9238868,HONG KONG
GLISTAR,9249324,GUYANA (FALSE)
GLOBAL ACE,9190078,PANAMA
GLOBAL ANGEL,9311309,PANAMA
